"","Domain_Libname_Version","Peak_LU","Current_LU","Pre_Peak","Post_Peak","Library_Residue"
"1","junit-junit-4.11",779,746,1023,697,0.957637997432606
"2","commons-lang-commons-lang-2.6",324,321,1656,1643,0.990740740740741
"3","org.slf4j-slf4j-api-1.6.1",159,154,1885,1479,0.968553459119497
"4","log4j-log4j-1.2.15",105,100,2174,1662,0.952380952380952
"5","commons-fileupload-commons-fileupload-1.2.2",131,129,1476,1384,0.984732824427481
"6","junit-junit-4.5",80,71,2513,1379,0.8875
"7","org.slf4j-slf4j-log4j12-1.6.4",88,88,1286,1286,1
"8","org.hamcrest-hamcrest-all-1.1",75,63,2545,1702,0.84
"9","javax.ws.rs-jsr311-api-1.1.1",74,68,2134,1614,0.918918918918919
"10","xerces-xercesImpl-2.9.1",59,58,2075,1286,0.983050847457627
"11","org.easymock-easymock-3.1",61,60,1183,579,0.983606557377049
"12","com.googlecode.json-simple-json-simple-1.1.1",64,64,1159,1159,1
"13","com.google.collections-google-collections-1.0",37,33,1867,1454,0.891891891891892
"14","javax-javaee-api-6.0",52,49,1148,779,0.942307692307692
"15","oro-oro-2.0.8",47,47,2961,2961,1
"16","com.google.inject-guice-2.0",31,28,1870,1188,0.903225806451613
"17","com.google.code.findbugs-jsr305-2.0.1",45,38,911,416,0.844444444444444
"18","javax.mail-mail-1.4.7",49,49,910,855,1
"19","org.apache.maven-maven-project-2.2.1",42,42,1699,1699,1
"20","com.google.android-android-4.1.1.4",46,46,837,837,1
"21","org.testng-testng-6.1.1",37,32,1446,941,0.864864864864865
"22","com.google.android-support-v4-r7",36,34,1125,1087,0.944444444444444
"23","org.apache.ant-ant-1.8.2",30,29,1471,1150,0.966666666666667
"24","org.bukkit-bukkit-1.6.2-R0.1-SNAPSHOT",25,4,267,23,0.16
"25","org.slf4j-slf4j-api-1.5.11",21,17,1205,80,0.80952380952381
"26","javax.mail-mail-1.4.4",29,26,1625,1102,0.896551724137931
"27","rome-rome-0.9",25,24,1941,1639,0.96
"28","org.slf4j-slf4j-api-1.6.0",17,14,1653,895,0.823529411764706
"29","org.glassfish.web-jstl-impl-1.2",30,30,1348,824,1
"30","jdom-jdom-1.1",16,16,1448,1448,1
"31","org.hibernate-hibernate-3.2.5.ga",19,18,2084,2052,0.947368421052632
"32","commons-codec-commons-codec-1.10",34,34,325,325,1
"33","org.javassist-javassist-3.16.1-GA",24,16,994,247,0.666666666666667
"34","org.easymock-easymockclassextension-2.4",21,17,1715,330,0.80952380952381
"35","com.google.inject.extensions-guice-multibindings-3.0",25,24,1376,1097,0.96
"36","org.apache.geronimo.specs-geronimo-servlet_2.5_spec-1.2",22,21,2470,2290,0.954545454545455
"37","com.google.inject.extensions-guice-servlet-3.0",20,19,1372,1285,0.95
"38","org.apache.poi-poi-3.8",23,23,603,409,1
"39","com.h2database-h2-1.3.173",19,16,237,76,0.842105263157895
"40","org.jmock-jmock-legacy-2.5.1",23,23,520,520,1
"41","mysql-mysql-connector-java-5.1.20",16,16,606,606,1
"42","org.codehaus.jackson-jackson-core-asl-1.9.9",19,19,943,444,1
"43","com.h2database-h2-1.3.172",22,14,446,69,0.636363636363636
"44","org.apache.geronimo.specs-geronimo-servlet_3.0_spec-1.0",23,22,1042,880,0.956521739130435
"45","org.json-json-20080701",21,21,1348,1348,1
"46","org.slf4j-slf4j-log4j12-1.4.2",11,10,1760,1421,0.909090909090909
"47","commons-el-commons-el-1.0",12,12,1198,1198,1
"48","org.hsqldb-hsqldb-2.3.1",21,16,548,182,0.761904761904762
"49","asm-asm-3.2",10,10,2148,1208,1
"50","org.apache.maven.plugin-tools-maven-plugin-annotations-3.3",17,17,496,213,1
"51","org.jboss.spec-jboss-javaee-6.0-1.0.0.Final",17,17,1591,1591,1
"52","javax.servlet.jsp-javax.servlet.jsp-api-2.2.1",18,18,1036,1036,1
"53","org.ow2.asm-asm-4.1",15,13,709,179,0.866666666666667
"54","commons-net-commons-net-3.3",23,23,683,683,1
"55","org.apache.httpcomponents-httpclient-4.0.3",12,11,1645,361,0.916666666666667
"56","org.apache.xmlrpc-xmlrpc-client-3.1.3",19,18,1399,1126,0.947368421052632
"57","org.glassfish.web-el-impl-2.2",18,18,1617,1617,1
"58","org.springframework-spring-test-3.1.2.RELEASE",17,15,582,243,0.882352941176471
"59","ch.qos.logback-logback-classic-1.0.10",12,6,583,5,0.5
"60","com.sun.jersey-jersey-json-1.8",13,12,884,884,0.923076923076923
"61","org.apache.httpcomponents-httpmime-4.2.1",14,11,690,117,0.785714285714286
"62","org.codehaus.plexus-plexus-utils-1.1",10,9,839,836,0.9
"63","org.powermock-powermock-module-junit4-1.5",14,12,791,161,0.857142857142857
"64","org.yaml-snakeyaml-1.12",16,11,781,109,0.6875
"65","com.sun.jersey-jersey-client-1.17.1",15,10,730,189,0.666666666666667
"66","org.mcstats.bukkit-metrics-R6",9,8,558,383,0.888888888888889
"67","com.fasterxml.jackson.core-jackson-core-2.1.4",7,4,225,25,0.571428571428571
"68","com.sun.jersey-jersey-client-1.8",12,12,703,703,1
"69","net.java.dev.rome-rome-1.0.0",16,15,1373,863,0.9375
"70","org.apache.xmlbeans-xmlbeans-2.3.0",13,12,2179,2154,0.923076923076923
"71","org.springframework-spring-context-3.1.2.RELEASE",12,9,799,286,0.75
"72","xml-resolver-xml-resolver-1.2",13,13,2,2,1
"73","com.h2database-h2-1.3.167",13,8,544,37,0.615384615384615
"74","commons-net-commons-net-3.1",13,10,1101,246,0.769230769230769
"75","org.apache.activemq-activemq-core-5.7.0",15,13,855,480,0.866666666666667
"76","org.bukkit-bukkit-1.6.4-R2.0",13,4,152,38,0.307692307692308
"77","org.javassist-javassist-3.18.2-GA",17,16,359,289,0.941176470588235
"78","org.springframework-spring-aop-3.1.1.RELEASE",9,9,220,220,1
