url,authors,commiters
https://github.com/CitizensDev/CitizensAPI,16,CitizensAPI
https://github.com/scobal/seyren,28,seyren
https://github.com/aerogear/aerogear-controller,8,aerogear-controller
https://github.com/Chipmunk-Unlimited/Lecture-Feedback,3,Lecture-Feedback
https://github.com/evandor/skysail-server-ext,2,skysail-server-ext
https://github.com/shuhuai007/cfim,3,cfim
https://github.com/sgmiller/The-Artifact,5,The-Artifact
https://github.com/FHachez/restaurantApp,4,restaurantApp
https://github.com/entando/entando-plugins-parent,19,entando-plugins-parent
https://github.com/thothbot/parallax,2,parallax
https://github.com/DozerMapper/dozer,40,dozer
https://github.com/koraktor/steam-condenser-java,12,steam-condenser-java
https://github.com/Gris87/WYSIWYG_Keyboard,3,WYSIWYG_Keyboard
https://github.com/yungsters/rain-workload-toolkit,11,rain-workload-toolkit
https://github.com/ese-unibe-ch/ese2013-team8,7,ese2013-team8
https://github.com/vazexqi/CodingSpectator,4,CodingSpectator
https://github.com/clientserver/lotserver,3,lotserver
https://github.com/mperdikeas/archetypes,3,archetypes
https://github.com/DAT255-group20/UltraExtreme,4,UltraExtreme
https://github.com/onepf/AppDF,19,AppDF
https://github.com/Cloudhunter/OpenCCSensors,21,OpenCCSensors
https://github.com/jpmml/jpmml,8,jpmml
https://github.com/AlibabaTech/fastjson,11,fastjson
https://github.com/Technius/SkyrimRPG,4,SkyrimRPG
https://github.com/vmi/selenese-runner-java,6,selenese-runner-java
https://github.com/IsmAvatar/LateralGM,12,LateralGM
https://github.com/karma-exchange-org/karma-exchange,3,karma-exchange
https://github.com/asascience-open/ncSOS,12,ncSOS
https://github.com/OWASP/OWASP-WebScarab,22,OWASP-WebScarab
https://github.com/VaclavDedik/jboss-seam,14,jboss-seam
https://github.com/diogojpina/ListaExercicio,15,ListaExercicio
https://github.com/YAMJ/yamj-v3,5,yamj-v3
https://github.com/Mobicents/jss7,10,jss7
https://github.com/fprates/iocaste,1,iocaste
https://github.com/nchovy/kraken,14,kraken
https://github.com/sergeymo/android-radio-t,2,android-radio-t
https://github.com/informant/informant,1,informant
https://github.com/svn2github/H2-Mirror,3,H2-Mirror
https://github.com/richfaces/showcase,21,showcase
https://github.com/kitkatandroid/JLS36G_base,2,JLS36G_base
https://github.com/mockito/mockito,40,mockito
https://github.com/hjohn/MediaSystem,1,MediaSystem
https://github.com/xize/xEssentials,1,xEssentials
https://github.com/kalvinnchau/cse131,3,cse131
https://github.com/AbstractedSheep/Shuttle-Tracker,11,Shuttle-Tracker
https://github.com/kai8406/cmop,2,cmop
https://github.com/hubiquitus/hubiquitus4j,13,hubiquitus4j
https://github.com/nchandran3/Silver,5,Silver
https://github.com/rolandschulz/PTP,17,PTP
https://github.com/enviroCar/enviroCar-app,7,enviroCar-app
https://github.com/JohannesKlug/hbird,5,hbird
https://github.com/stephenh/joist,5,joist
https://github.com/iceandfire/android_packages_apps_Settings,30,android_packages_apps_Settings
https://github.com/airlift/airship,8,airship
https://github.com/hortonworks/templeton,16,templeton
https://github.com/SimpleServer/SimpleServer,23,SimpleServer
https://github.com/dungvn3000/qlkh,3,qlkh
https://github.com/the-fascinator/the-fascinator,15,the-fascinator
https://github.com/vmware-serengeti/vhm,24,vhm
https://github.com/taskadapter/redmine-java-api,31,redmine-java-api
https://github.com/flyingsaucerproject/flyingsaucer,50,flyingsaucer
https://github.com/imeeting/web_portal,3,web_portal
https://github.com/typesafehub/config,16,config
https://github.com/arquillian/arquillian-graphene,15,arquillian-graphene
https://github.com/infinispan/infinispan-server,26,infinispan-server
https://github.com/freemarker/freemarker,12,freemarker
https://github.com/tcurdt/jdeb,40,jdeb
https://github.com/cowtowncoder/ClusterMate,2,ClusterMate
https://github.com/tzaeschke/zoodb,10,zoodb
https://github.com/SpringSource/spring-social-twitter,16,spring-social-twitter
https://github.com/phenoscape/phenoscape-nlp,5,phenoscape-nlp
https://github.com/martoncsukas/home,1,home
https://github.com/arquillian/arquillian-container-jbossas,9,arquillian-container-jbossas
https://github.com/Jordi1990/Containing-2013,11,Containing-2013
https://github.com/nolanlawson/KeepScore,11,KeepScore
https://github.com/pgalex/OSMViewer,3,OSMViewer
https://github.com/jclouds/jclouds-chef,16,jclouds-chef
https://github.com/tbroyer/gwt-sandbox,55,gwt-sandbox
https://github.com/testmycode/tmc-netbeans,6,tmc-netbeans
https://github.com/haraldk/TwelveMonkeys,16,TwelveMonkeys
https://github.com/Athou/GeekBot,7,GeekBot
https://github.com/adinardi/google-closure-compiler,86,google-closure-compiler
https://github.com/jenkinsci/xunit-plugin,19,xunit-plugin
https://github.com/Omertron/api-themoviedb,9,api-themoviedb
https://github.com/killme2008/xmemcached,18,xmemcached
https://github.com/span/Team05,7,Team05
https://github.com/LuckyStars/nbc,4,nbc
https://github.com/milneti/PayBack,12,PayBack
https://github.com/Dempsy/Dempsy,6,Dempsy
https://github.com/github/gauges-android,8,gauges-android
https://github.com/siramix/buzzwords,4,buzzwords
https://github.com/holatuwol/kolmafia,12,kolmafia
https://github.com/apache/maven-release,33,maven-release
https://github.com/OpenRadStack/mirth,5,mirth
https://github.com/Dilandau/MhoEssentials,2,MhoEssentials
https://github.com/mbax/VanishNoPacket,27,VanishNoPacket
https://github.com/rodnaph/sockso,16,sockso
https://github.com/Blazemeter/blazemeter-jmeter-plugin,3,blazemeter-jmeter-plugin
https://github.com/sakai-mirror/site-manage,28,site-manage
https://github.com/Gwindow/WhatAndroid,4,WhatAndroid
https://github.com/mikera/clisk,5,clisk
https://github.com/ether/pad,53,pad
https://github.com/bergerkiller/BKCommonLib,8,BKCommonLib
https://github.com/photon-infotech/archetypes,21,archetypes
https://github.com/iain-davis/CommunityBridge,7,CommunityBridge
https://github.com/CyanogenMod/android_device_asus_tf700t,27,android_device_asus_tf700t
https://github.com/barchart/barchart-feed,8,barchart-feed
https://github.com/cinchapi/concourse,1,concourse
https://github.com/hamcrest/JavaHamcrest,35,JavaHamcrest
https://github.com/onexus/onexus,2,onexus
https://github.com/Compu-global-Hiper-mega-Net/Proyecto,12,Proyecto
https://github.com/notnoop/java-apns,43,java-apns
https://github.com/jeremylong/DependencyCheck,6,DependencyCheck
https://github.com/Gumtree/gumtree,6,gumtree
https://github.com/webdetails/cpf,20,cpf
https://github.com/aerogear/aerogear-controller-demo,10,aerogear-controller-demo
https://github.com/blingwang/coding-collections,2,coding-collections
https://github.com/VWoeltjen/MCT-Plugins,7,MCT-Plugins
https://github.com/TeamW/Sports-Elimination-TP3,10,Sports-Elimination-TP3
https://github.com/dekarrin/yuuki-jrpg,2,yuuki-jrpg
https://github.com/betterFORM/betterFORM-limegreen,7,betterFORM-limegreen
https://github.com/epsilony/mf,1,mf
https://github.com/pcgod/mumble-android,18,mumble-android
https://github.com/code4craft/webmagic,7,webmagic
https://github.com/werme/DAT076,5,DAT076
https://github.com/blizzy78/documentr,1,documentr
https://github.com/pgong/jdby,7,jdby
https://github.com/zanata/zanata-client,7,zanata-client
https://github.com/padrig64/ValidationFramework,6,ValidationFramework
https://github.com/maniacbug/RF24,32,RF24
https://github.com/dweiss/lucene_solr,23,lucene_solr
https://github.com/exload/VArenas,4,VArenas
https://github.com/eclipse/tycho,15,tycho
https://github.com/sriksun/Ivory,15,Ivory
https://github.com/kreig133/IASKDaoGenerator,8,IASKDaoGenerator
https://github.com/Spidey01/sxe,1,sxe
https://github.com/mulesoft/facebook-connector,18,facebook-connector
https://github.com/LaurenDM/Pen0--Computerwetenschappen-Groen,7,Pen0--Computerwetenschappen-Groen
https://github.com/jingwei/krati,16,krati
https://github.com/idega/is.idega.idegaweb.egov.bpm,7,is.idega.idegaweb.egov.bpm
https://github.com/bmule/ehkmt-integration,11,ehkmt-integration
https://github.com/robotoworks/mechanoid,7,mechanoid
https://github.com/tomwhite/whirr-cm,9,whirr-cm
https://github.com/michaz/matsim,15,matsim
https://github.com/zenbones/SmallMind,3,SmallMind
https://github.com/kevinsawicki/http-request,23,http-request
https://github.com/Afforess/MinecartMania,28,MinecartMania
