"project","dependencies","start","end"
citizensapi,org.bukkit-bukkit-1.1-R1-SNAPSHOT,2012-01-16 15:17:43-06:00,2012-01-30 12:55:38-06:00
citizensapi,org.bukkit-bukkit-1.1-R3,2012-01-30 13:13:06-06:00,2012-02-16 20:10:54-06:00
graphite-siren-parent,org.apache.commons-commons-email-1.2,2012-04-29 18:02:45+01:00,2012-04-29 18:02:45+01:00
skysail.server.ext.dbviewer,commons-dbcp-commons-dbcp-1.4,2011-12-04 16:10:34+01:00,2012-03-15 07:12:17+01:00
skysail.server.ext.dbviewer,junit-junit-4.8.2,2011-12-04 16:10:34+01:00,2012-09-19 14:16:00+02:00
skysail.server.ext.atmosphere.tail,javax.mail-com.springsource.javax.mail-1.4.1,2012-01-15 18:06:58+01:00,2014-10-06 17:30:15+02:00
skysail.server.ext.atmosphere.tail,javax.xml.stream-com.springsource.javax.xml.stream-1.0.1,2012-01-15 18:06:58+01:00,2014-10-06 17:30:15+02:00
skysail.server.ext.atmosphere.tail,commons-io-commons-io-2.1,2012-01-15 18:06:58+01:00,2014-10-06 17:30:15+02:00
skysail.server.freemarker.devConfig,junit-junit-4.9,2012-01-29 11:59:17+01:00,2014-10-06 17:30:15+02:00
skysail.server.ext.eclipselink,javax.persistence-persistence-api-1.0.2,2012-02-03 07:34:30+01:00,2012-03-15 07:12:17+01:00
skysail.server.ext.eclipselink,org.apache.derby-derby-10.8.2.2,2012-02-03 07:34:30+01:00,2012-03-15 07:12:17+01:00
skysail.server.ext.eclipselink,org.eclipse.persistence-javax.persistence-2.0.3,2012-02-04 20:20:09+01:00,2012-02-24 12:32:40+01:00
skysail.server.ext.inlinebrowser,org.jsoup-jsoup-1.6.1,2012-02-07 19:24:28+01:00,2014-10-06 17:30:15+02:00
skysail.server.ext.notes,junit-junit-4.10,2012-05-26 07:53:53+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.notes,org.apache.felix-org.apache.felix.framework-3.2.2,2012-06-15 08:28:14+02:00,2013-06-11 07:49:13+02:00
skysail.server.ext.notes,javax.inject-javax.inject-1,2012-06-15 08:28:14+02:00,2013-06-11 07:49:13+02:00
skysail.server.ext.forms,junit-junit-4.10,2012-06-21 15:41:40+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.forms,org.apache.felix-org.apache.felix.framework-3.2.2,2012-06-21 15:41:40+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.forms,javax.inject-javax.inject-1,2012-06-21 15:41:40+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.notes.atests,junit-junit-4.10,2012-07-01 22:06:48+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.dbviewer,ch.qos.logback-logback-classic-0.9.29,2012-07-03 18:30:06+02:00,2012-07-10 08:19:35+02:00
skysail.server.ext.dbviewer,org.apache.felix-org.apache.felix.framework-3.2.2,2012-07-04 18:25:28+02:00,2012-09-19 19:04:20+02:00
skysail.server.ext.dbviewer,javax.inject-javax.inject-1,2012-07-04 19:04:17+02:00,2012-09-19 19:04:20+02:00
skysail.server.ext.dbviewer,org.apache.commons-commons-lang3-3.1,2012-07-05 08:13:12+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.dbviewer,commons-collections-commons-collections-3.2.1,2012-07-05 08:13:12+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.dbviewer,org.hamcrest-hamcrest-core-1.3.RC2,2012-07-05 08:13:12+02:00,2012-08-18 12:05:07+02:00
skysail.server.ext.spreadsheet,org.apache.felix-org.apache.felix.framework-3.2.2,2012-08-20 07:57:49+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.spreadsheet,org.apache.commons-commons-lang3-3.1,2012-08-20 07:57:49+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.spreadsheet,commons-collections-commons-collections-3.2.1,2012-08-20 07:57:49+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.spreadsheet,junit-junit-4.8.2,2012-08-20 07:57:49+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.spreadsheet,javax.inject-javax.inject-1,2012-08-20 07:57:49+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.excel,org.springframework-spring-core-3.1.2.RELEASE,2012-08-24 17:40:13+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.excel,junit-junit-4.10,2012-08-24 17:40:13+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.osgideps,jgraph-jgraph-5.13.0.0,2012-09-04 18:12:13+02:00,2012-09-04 18:20:43+02:00
skysail.server.ext.osgideps,junit-junit-4.10,2012-09-04 18:12:13+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.osgideps,org.apache.felix-org.apache.felix.framework-3.2.2,2012-09-08 12:36:34+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.osgideps,javax.inject-javax.inject-1,2012-09-08 12:36:34+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.osgi.visualization.zest,org.apache.felix-org.apache.felix.framework-3.2.2,2012-09-10 08:06:12+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.osgi.visualization.zest,javax.inject-javax.inject-1,2012-09-10 08:06:12+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.osgi.visualization.zest,junit-junit-4.10,2012-09-10 08:06:12+02:00,2014-10-06 17:30:15+02:00
skysail.server.ext.dbviewer,org.apache.geronimo.specs-geronimo-validation_1.0_spec-1.1,2012-09-13 18:08:34+02:00,2012-09-17 14:59:59+02:00
