"project","dependencies","start","end"
mall-admin,com.macro-mall-mbg-1.0-SNAPSHOT,2018-04-13 13:50:33+08:00,2018-08-21 13:52:00+08:00
mall-admin,org.springframework.boot-spring-boot-starter-web-None,2018-04-13 13:50:33+08:00,2019-04-16 20:21:49+08:00
mall-admin,org.springframework.boot-spring-boot-starter-thymeleaf-None,2018-04-13 13:50:33+08:00,2018-06-07 17:24:53+08:00
mall-admin,org.mybatis.spring.boot-mybatis-spring-boot-starter-1.2.0,2018-04-13 13:50:33+08:00,2019-04-05 22:06:41+08:00
mall-admin,org.springframework.boot-spring-boot-starter-test-None,2018-04-13 13:50:33+08:00,2019-04-16 20:21:49+08:00
mall-demo,com.macro-mall-mbg-1.0-SNAPSHOT,2018-04-13 13:50:33+08:00,2018-08-21 13:52:00+08:00
mall-demo,org.springframework.boot-spring-boot-starter-thymeleaf-None,2018-04-13 13:50:33+08:00,2020-08-03 20:53:39+08:00
mall-demo,org.springframework.boot-spring-boot-starter-web-None,2018-04-13 13:50:33+08:00,2019-04-16 20:21:49+08:00
mall-demo,org.springframework.boot-spring-boot-starter-security-None,2018-04-13 13:50:33+08:00,2020-08-03 20:53:39+08:00
mall-demo,org.mybatis.spring.boot-mybatis-spring-boot-starter-1.2.0,2018-04-13 13:50:33+08:00,2019-04-05 22:06:41+08:00
mall-demo,org.springframework.boot-spring-boot-starter-actuator-None,2018-04-13 13:50:33+08:00,2019-04-16 20:21:49+08:00
mall-demo,org.springframework.boot-spring-boot-starter-test-None,2018-04-13 13:50:33+08:00,2019-04-16 20:21:49+08:00
mall-demo,io.springfox-springfox-swagger2-2.6.1,2018-04-13 13:50:33+08:00,2019-04-16 20:21:49+08:00
mall-demo,io.springfox-springfox-swagger-ui-2.6.1,2018-04-13 13:50:33+08:00,2019-04-16 20:21:49+08:00
mall-demo,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.3,2018-04-13 13:50:33+08:00,2019-04-05 22:06:41+08:00
mall-mbg,org.mybatis.generator-mybatis-generator-core-1.3.3,2018-04-13 13:50:33+08:00,2019-06-15 10:53:58+08:00
mall-mbg,org.mybatis-mybatis-3.4.2,2018-04-13 13:50:33+08:00,2019-04-05 22:06:41+08:00
mall-mbg,mysql-mysql-connector-java-5.1.42,2018-04-13 13:50:33+08:00,2018-06-07 17:24:53+08:00
mall-admin,org.springframework.boot-spring-boot-starter-security-None,2018-04-13 17:46:45+08:00,2019-11-09 16:47:55+08:00
mall-admin,org.springframework.boot-spring-boot-starter-actuator-None,2018-04-13 17:46:45+08:00,2019-04-16 20:21:49+08:00
mall-admin,io.springfox-springfox-swagger2-2.6.1,2018-04-13 17:46:45+08:00,2019-04-16 20:21:49+08:00
mall-admin,io.springfox-springfox-swagger-ui-2.6.1,2018-04-13 17:46:45+08:00,2019-04-16 20:21:49+08:00
mall-admin,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.3,2018-04-13 17:46:45+08:00,2019-04-05 22:06:41+08:00
mall-admin,org.springframework.boot-spring-boot-starter-aop-None,2018-04-18 17:25:18+08:00,2019-04-16 20:21:49+08:00
mall-admin,io.jsonwebtoken-jjwt-0.9.0,2018-04-20 17:49:25+08:00,2019-10-19 14:49:55+08:00
mall-admin,com.aliyun.oss-aliyun-sdk-oss-2.5.0,2018-05-17 15:53:28+08:00,2019-10-19 14:49:55+08:00
mall-search,com.macro-mall-mbg-1.0-SNAPSHOT,2018-06-19 09:27:11+08:00,2018-08-21 13:52:00+08:00
mall-search,org.springframework.boot-spring-boot-starter-data-elasticsearch-None,2018-06-19 09:27:11+08:00,2020-08-03 20:53:39+08:00
mall-search,org.springframework.boot-spring-boot-starter-web-None,2018-06-19 09:27:11+08:00,2019-04-16 20:21:49+08:00
mall-search,org.springframework.boot-spring-boot-starter-test-None,2018-06-19 09:27:11+08:00,2019-04-16 20:21:49+08:00
mall-mbg,mysql-mysql-connector-java-5.1.46,2018-06-19 09:27:11+08:00,2019-04-05 22:06:41+08:00
mall-search,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.3,2018-06-19 17:27:41+08:00,2019-04-05 22:06:41+08:00
mall-search,io.springfox-springfox-swagger2-2.6.1,2018-06-19 17:27:41+08:00,2019-04-16 20:21:49+08:00
mall-search,io.springfox-springfox-swagger-ui-2.6.1,2018-06-19 17:27:41+08:00,2019-04-16 20:21:49+08:00
mall-portal,com.macro-mall-mbg-1.0-SNAPSHOT,2018-08-01 13:20:34+08:00,2018-08-21 13:52:00+08:00
mall-portal,org.springframework.boot-spring-boot-starter-data-mongodb-None,2018-08-01 13:20:34+08:00,2020-08-03 20:53:39+08:00
mall-portal,org.springframework.boot-spring-boot-starter-web-None,2018-08-01 13:20:34+08:00,2019-04-16 20:21:49+08:00
mall-portal,org.springframework.boot-spring-boot-starter-test-None,2018-08-01 13:20:34+08:00,2019-04-16 20:21:49+08:00
mall-portal,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.3,2018-08-01 13:20:34+08:00,2019-04-05 22:06:41+08:00
mall-portal,io.springfox-springfox-swagger2-2.6.1,2018-08-01 13:20:34+08:00,2019-04-16 20:21:49+08:00
mall-portal,io.springfox-springfox-swagger-ui-2.6.1,2018-08-01 13:20:34+08:00,2019-04-16 20:21:49+08:00
mall-portal,org.springframework.boot-spring-boot-starter-security-None,2018-08-03 17:11:41+08:00,2019-11-09 16:51:35+08:00
mall-portal,org.springframework.boot-spring-boot-starter-cache-None,2018-08-07 14:10:33+08:00,2019-04-05 22:06:41+08:00
mall-portal,org.springframework.boot-spring-boot-starter-redis-1.3.8.RELEASE,2018-08-07 14:10:33+08:00,2019-04-05 22:06:41+08:00
mall-admin,com.macro.mall-mall-mbg-1.0-SNAPSHOT,2018-08-22 17:17:28+08:00,2019-10-19 14:49:55+08:00
mall-search,com.macro.mall-mall-mbg-1.0-SNAPSHOT,2018-08-22 17:17:28+08:00,2019-10-19 14:49:55+08:00
mall-demo,com.macro.mall-mall-mbg-1.0-SNAPSHOT,2018-08-22 17:17:28+08:00,2019-10-19 14:49:55+08:00
mall-portal,com.macro.mall-mall-mbg-1.0-SNAPSHOT,2018-08-22 17:17:28+08:00,2019-10-19 14:49:55+08:00
mall-admin,net.logstash.logback-logstash-logback-encoder-4.8,2018-09-11 15:54:16+08:00,2019-10-19 14:49:55+08:00
mall-demo,net.logstash.logback-logstash-logback-encoder-4.8,2018-09-11 15:54:16+08:00,2019-10-19 14:49:55+08:00
mall-admin,com.alibaba-druid-spring-boot-starter-1.1.10,2018-09-13 17:23:13+08:00,2019-04-16 20:21:49+08:00
mall-search,com.alibaba-druid-spring-boot-starter-1.1.10,2018-09-13 17:23:13+08:00,2019-04-16 20:21:49+08:00
mall-portal,com.alibaba-druid-spring-boot-starter-1.1.10,2018-09-13 17:23:13+08:00,2019-04-16 20:21:49+08:00
mall-portal,org.springframework.boot-spring-boot-starter-amqp-None,2018-09-14 17:09:27+08:00,2020-08-03 20:53:39+08:00
mall-portal,org.projectlombok-lombok-None,2018-09-14 17:09:27+08:00,2019-10-19 14:49:55+08:00
mall-admin,org.projectlombok-lombok-None,2018-09-30 18:00:01+08:00,2019-10-19 14:49:55+08:00
mall-admin,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.10,2019-04-07 17:36:26+08:00,2019-04-16 20:21:49+08:00
mall-search,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.10,2019-04-07 17:36:26+08:00,2019-04-16 20:21:49+08:00
mall-demo,org.springframework.boot-spring-boot-starter-aop-None,2019-04-07 17:36:26+08:00,2019-04-16 20:21:49+08:00
